5.0000e+02,2.0000e-01,7.6546e-01
5.0000e+02,4.0000e-01,3.0059e+00
5.0000e+02,6.0000e-01,6.5820e+00
5.0000e+02,8.0000e-01,1.2475e+01
5.0000e+02,1.0000e+00,1.8856e+01
5.0000e+02,1.2000e+00,2.7048e+01
5.0000e+02,1.4000e+00,3.7668e+01
5.0000e+02,1.6000e+00,4.8737e+01
6.0000e+02,2.0000e-01,3.4766e-01
6.0000e+02,4.0000e-01,1.4794e+00
6.0000e+02,6.0000e-01,3.1702e+00
6.0000e+02,8.0000e-01,5.6107e+00
6.0000e+02,1.0000e+00,9.2605e+00
6.0000e+02,1.2000e+00,1.2794e+01
6.0000e+02,1.4000e+00,1.7775e+01
6.0000e+02,1.6000e+00,2.2797e+01
7.0000e+02,2.0000e-01,1.8473e-01
7.0000e+02,4.0000e-01,7.4274e-01
7.0000e+02,6.0000e-01,1.6636e+00
7.0000e+02,8.0000e-01,2.9786e+00
7.0000e+02,1.0000e+00,4.6928e+00
7.0000e+02,1.2000e+00,6.9173e+00
7.0000e+02,1.4000e+00,9.1551e+00
7.0000e+02,1.6000e+00,1.2126e+01
8.0000e+02,2.0000e-01,1.0437e-01
8.0000e+02,4.0000e-01,4.1032e-01
8.0000e+02,6.0000e-01,9.5898e-01
8.0000e+02,8.0000e-01,1.7326e+00
8.0000e+02,1.0000e+00,2.6261e+00
8.0000e+02,1.2000e+00,3.8027e+00
8.0000e+02,1.4000e+00,5.1373e+00
8.0000e+02,1.6000e+00,6.8496e+00
9.0000e+02,2.0000e-01,6.0353e-02
9.0000e+02,4.0000e-01,2.3885e-01
9.0000e+02,6.0000e-01,5.4001e-01
9.0000e+02,8.0000e-01,9.6921e-01
9.0000e+02,1.0000e+00,1.5092e+00
9.0000e+02,1.2000e+00,2.1652e+00
9.0000e+02,1.4000e+00,3.0044e+00
9.0000e+02,1.6000e+00,4.0359e+00
1.0000e+03,2.0000e-01,3.5320e-02
1.0000e+03,4.0000e-01,1.4669e-01
1.0000e+03,6.0000e-01,3.4163e-01
1.0000e+03,8.0000e-01,6.0696e-01
1.0000e+03,1.0000e+00,9.0301e-01
1.0000e+03,1.2000e+00,1.3349e+00
1.0000e+03,1.4000e+00,1.8145e+00
1.0000e+03,1.6000e+00,2.3951e+00
1.1000e+03,2.0000e-01,2.2758e-02
1.1000e+03,4.0000e-01,9.2745e-02
1.1000e+03,6.0000e-01,2.1428e-01
1.1000e+03,8.0000e-01,3.6520e-01
1.1000e+03,1.0000e+00,5.7925e-01
1.1000e+03,1.2000e+00,8.5419e-01
1.1000e+03,1.4000e+00,1.1643e+00
1.1000e+03,1.6000e+00,1.5017e+00
1.2000e+03,2.0000e-01,1.4636e-02
1.2000e+03,4.0000e-01,5.9494e-02
1.2000e+03,6.0000e-01,1.3395e-01
1.2000e+03,8.0000e-01,2.3547e-01
1.2000e+03,1.0000e+00,3.5322e-01
1.2000e+03,1.2000e+00,5.3982e-01
1.2000e+03,1.4000e+00,7.3656e-01
1.2000e+03,1.6000e+00,9.7469e-01
1.3000e+03,2.0000e-01,9.4622e-03
1.3000e+03,4.0000e-01,3.8197e-02
1.3000e+03,6.0000e-01,8.7732e-02
1.3000e+03,8.0000e-01,1.5598e-01
1.3000e+03,1.0000e+00,2.4030e-01
1.3000e+03,1.2000e+00,3.4660e-01
1.3000e+03,1.4000e+00,4.7220e-01
1.3000e+03,1.6000e+00,6.1489e-01
1.4000e+03,2.0000e-01,6.3592e-03
1.4000e+03,4.0000e-01,2.4836e-02
1.4000e+03,6.0000e-01,5.6987e-02
1.4000e+03,8.0000e-01,1.0243e-01
1.4000e+03,1.0000e+00,1.5657e-01
1.4000e+03,1.2000e+00,2.3003e-01
1.4000e+03,1.4000e+00,3.1511e-01
1.4000e+03,1.6000e+00,4.2067e-01
1.5000e+03,2.0000e-01,4.1868e-03
1.5000e+03,4.0000e-01,1.7720e-02
1.5000e+03,6.0000e-01,3.8391e-02
1.5000e+03,8.0000e-01,6.7843e-02
1.5000e+03,1.0000e+00,1.0737e-01
1.5000e+03,1.2000e+00,1.5288e-01
1.5000e+03,1.4000e+00,2.0981e-01
1.5000e+03,1.6000e+00,2.8360e-01
1.6000e+03,2.0000e-01,2.9046e-03
1.6000e+03,4.0000e-01,1.1642e-02
1.6000e+03,6.0000e-01,2.5941e-02
1.6000e+03,8.0000e-01,4.5714e-02
1.6000e+03,1.0000e+00,7.0272e-02
1.6000e+03,1.2000e+00,1.0633e-01
1.6000e+03,1.4000e+00,1.4744e-01
1.6000e+03,1.6000e+00,1.9490e-01
1.7000e+03,2.0000e-01,1.9691e-03
