 0.12088E-03 0.17742E-05 0.00000E+00    11859      680    3      675 0.558E+07 0.98355E-09  0.12088E-03
   1    0.13860E-03    0.12330E-04    0.36616E+01    0.86019E-02    0.13860E-03
   2    0.12517E-03    0.37337E-05    0.17362E+01    0.42528E-02    0.12517E-03
   3    0.11996E-03    0.13709E-05    0.94069E+00    0.19014E-02    0.11996E-03
