 0.36939E-02 0.14421E-04 0.00000E+00    14001      816    3      811 0.220E+06 0.25672E-07  0.36939E-02
   1    0.36672E-02    0.87015E-04    0.10612E+01    0.14593E-01    0.36672E-02
   2    0.36852E-02    0.33748E-04    0.57917E+00    0.11269E-01    0.36852E-02
   3    0.36968E-02    0.16226E-04    0.39258E+00    0.71883E-02    0.36968E-02
